ROWHEADER,Test,ODI,T20,IPL,name,country
SR,61.68,82.85,121.25,124.49,Shakib Al Hasan,Bangladesh
Not Out,8,30,16,12,Shakib Al Hasan,Bangladesh
Fours,556,699,258,73,Shakib Al Hasan,Bangladesh
Sixes,28,54,53,21,Shakib Al Hasan,Bangladesh
Ducks,6,12,9,4,Shakib Al Hasan,Bangladesh
50s,31,56,13,2,Shakib Al Hasan,Bangladesh
100s,5,9,0,0,Shakib Al Hasan,Bangladesh
200s,1,0,0,0,Shakib Al Hasan,Bangladesh
300s,0,0,0,0,Shakib Al Hasan,Bangladesh
400s,0,0,0,0,Shakib Al Hasan,Bangladesh
Matches,4,43,33,0,Mosaddek Hossain,Bangladesh
Innings,8,35,31,0,Mosaddek Hossain,Bangladesh
Runs,173,634,389,0,Mosaddek Hossain,Bangladesh
Balls,375,762,341,0,Mosaddek Hossain,Bangladesh
Highest,75,52,48,0,Mosaddek Hossain,Bangladesh
Average,28.83,25.36,18.52,0,Mosaddek Hossain,Bangladesh
SR,46.14,83.21,114.08,0,Mosaddek Hossain,Bangladesh
Not Out,2,10,10,0,Mosaddek Hossain,Bangladesh
Fours,13,58,26,0,Mosaddek Hossain,Bangladesh
Sixes,4,13,11,0,Mosaddek Hossain,Bangladesh
Ducks,1,1,4,0,Mosaddek Hossain,Bangladesh
50s,1,3,0,0,Mosaddek Hossain,Bangladesh
100s,0,0,0,0,Mosaddek Hossain,Bangladesh
200s,0,0,0,0,Mosaddek Hossain,Bangladesh
300s,0,0,0,0,Mosaddek Hossain,Bangladesh
400s,0,0,0,0,Mosaddek Hossain,Bangladesh
Matches,0,29,38,0,Mohammad Saifuddin,Bangladesh
Innings,0,19,21,0,Mohammad Saifuddin,Bangladesh
Runs,0,362,206,0,Mohammad Saifuddin,Bangladesh
Balls,0,422,180,0,Mohammad Saifuddin,Bangladesh
Highest,0,51,39,0,Mohammad Saifuddin,Bangladesh
Average,0,36.2,18.73,0,Mohammad Saifuddin,Bangladesh
SR,0,85.79,114.45,0,Mohammad Saifuddin,Bangladesh
