ROWHEADER,Test,ODI,T20,IPL,name,country
50s,35,0,0,1,Cheteshwar Pujara,India
100s,19,0,0,0,Cheteshwar Pujara,India
200s,3,0,0,0,Cheteshwar Pujara,India
300s,0,0,0,0,Cheteshwar Pujara,India
400s,0,0,0,0,Cheteshwar Pujara,India
Matches,85,90,20,192,Ajinkya Rahane,India
Innings,144,87,20,178,Ajinkya Rahane,India
Runs,5077,2962,375,4863,Ajinkya Rahane,India
Balls,10256,3767,331,3910,Ajinkya Rahane,India
Highest,188,111,61,105,Ajinkya Rahane,India
Average,38.46,35.26,20.83,30.39,Ajinkya Rahane,India
SR,49.51,78.64,113.3,124.38,Ajinkya Rahane,India
Not Out,12,3,2,18,Ajinkya Rahane,India
Fours,579,293,32,497,Ajinkya Rahane,India
Sixes,35,33,6,117,Ajinkya Rahane,India
Ducks,10,6,2,13,Ajinkya Rahane,India
50s,26,24,1,32,Ajinkya Rahane,India
100s,12,3,0,2,Ajinkya Rahane,India
200s,0,0,0,0,Ajinkya Rahane,India
300s,0,0,0,0,Ajinkya Rahane,India
400s,0,0,0,0,Ajinkya Rahane,India
Matches,0,6,23,71,Ruturaj Gaikwad,India
Innings,0,6,20,70,Ruturaj Gaikwad,India
Runs,0,115,633,2502,Ruturaj Gaikwad,India
Balls,0,157,441,1820,Ruturaj Gaikwad,India
Highest,0,71,123,108,Ruturaj Gaikwad,India
Average,0,19.17,39.56,40.35,Ruturaj Gaikwad,India
SR,0,73.25,143.54,137.48,Ruturaj Gaikwad,India
Not Out,0,0,4,8,Ruturaj Gaikwad,India
Fours,0,16,65,231,Ruturaj Gaikwad,India
Sixes,0,0,24,95,Ruturaj Gaikwad,India
Ducks,0,0,1,7,Ruturaj Gaikwad,India
50s,0,1,4,20,Ruturaj Gaikwad,India
100s,0,0,1,2,Ruturaj Gaikwad,India
200s,0,0,0,0,Ruturaj Gaikwad,India
300s,0,0,0,0,Ruturaj Gaikwad,India
400s,0,0,0,0,Ruturaj Gaikwad,India
Matches,11,94,114,143,Hardik Pandya,India
Innings,18,68,90,133,Hardik Pandya,India
Runs,532,1904,1812,2629,Hardik Pandya,India
Balls,720,1717,1279,1795,Hardik Pandya,India
Highest,108,92,71,91,Hardik Pandya,India
Average,31.29,32.83,27.88,28.58,Hardik Pandya,India
SR,73.89,110.9,141.68,146.47,Hardik Pandya,India
Not Out,1,10,25,41,Hardik Pandya,India
Fours,68,141,135,198,Hardik Pandya,India
Sixes,12,76,95,142,Hardik Pandya,India
Ducks,2,4,3,6,Hardik Pandya,India
50s,4,11,5,10,Hardik Pandya,India
100s,1,0,0,0,Hardik Pandya,India
200s,0,0,0,0,Hardik Pandya,India
300s,0,0,0,0,Hardik Pandya,India
400s,0,0,0,0,Hardik Pandya,India
Matches,16,0,0,24,Hanuma Vihari,India
Innings,28,0,0,23,Hanuma Vihari,India
Runs,839,0,0,284,Hanuma Vihari,India
Balls,1988,0,0,321,Hanuma Vihari,India
Highest,111,0,0,46,Hanuma Vihari,India
Average,33.56,0,0,14.2,Hanuma Vihari,India
SR,42.21,0,0,88.48,Hanuma Vihari,India
Not Out,3,0,0,3,Hanuma Vihari,India
Fours,107,0,0,23,Hanuma Vihari,India
Sixes,2,0,0,1,Hanuma Vihari,India
Ducks,1,0,0,0,Hanuma Vihari,India
50s,5,0,0,0,Hanuma Vihari,India
100s,1,0,0,0,Hanuma Vihari,India
200s,0,0,0,0,Hanuma Vihari,India
